Day,Hour,Weekend,Weather,Temperature,Humidity,Cloudiness,Event,Holiday,Festival,Season,Offer,Footfall,CrowdDensity,Ratings,Cuisine,Traffic,Parking,ParkingDistance_m,NearbyAttractions,AirQuality_AQI,User_Max_Crowd,User_Noise_Tolerance,User_Preferred_Temp,User_Preferred_Humidity,User_Accessibility,User_Seating,Comfort
Saturday,17,1,Normal,27.6,55.2,Overcast,0,0,0,Monsoon,1,38,Medium,3.6,Bakery,Low,Available,179.4,Office,62,37,Low,29.0,63.1,Yes,Booth,Moderate
Monday,20,0,Normal,25.6,54.9,Overcast,0,0,0,Monsoon,0,42,High,4.8,Italian,Medium,Full,37.7,Cinema,144,21,High,23.9,58.9,No,Booth,Overloaded
Monday,22,0,Hot,29.3,38.9,Overcast,1,0,0,Monsoon,0,47,High,3.7,Cafe,Medium,Limited,131.9,School,106,32,High,27.7,56.6,No,Indoor,Noisy
Saturday,16,1,Normal,30.0,65.3,Partly Cloudy,0,1,0,Summer,1,37,Medium,4.5,Italian,Low,Available,80.2,Park,121,44,Low,22.3,68.2,No,Outdoor,Moderate
Wednesday,20,0,Hot,29.2,75.5,Partly Cloudy,0,0,0,Summer,1,38,Medium,4.2,Bakery,Medium,Available,84.7,Office,119,43,High,28.2,31.7,No,Indoor,Noisy
Tuesday,15,0,Rainy,27.2,86.4,Cloudy,0,0,0,Summer,1,33,Medium,4.6,Cafe,Low,Available,98.3,Park,54,53,Medium,23.0,45.1,Yes,Booth,Noisy
Tuesday,15,0,Hot,27.3,85.5,Cloudy,0,0,0,Summer,0,25,Medium,4.3,Chinese,Low,Available,163.3,Cinema,176,32,Low,22.7,43.4,No,Window,Noisy
Tuesday,14,0,Hot,20.1,63.8,Sunny,0,0,0,Winter,0,26,Medium,4.8,Bakery,Low,Full,184.3,Mall,162,38,High,24.7,40.4,Yes,Outdoor,Noisy
Saturday,21,1,Overcast,28.3,36.1,Overcast,0,0,0,Monsoon,0,50,High,3.6,Chinese,Low,Available,67.7,None,163,37,Low,22.4,50.6,Yes,Booth,Overloaded
Monday,19,0,Hot,20.2,47.2,Partly Cloudy,0,0,0,Monsoon,1,32,Medium,3.9,SouthIndian,Medium,Full,111.7,Mall,122,55,Low,24.0,55.9,Yes,Outdoor,Noisy
Saturday,17,1,Rainy,27.9,62.1,Cloudy,0,0,0,Monsoon,1,46,High,5.0,SouthIndian,Low,Full,72.1,Mall,150,37,High,23.6,52.0,No,Booth,Overloaded
Saturday,12,1,Rainy,24.1,50.6,Sunny,0,0,0,Winter,0,35,Medium,3.7,Cafe,Low,Available,68.5,Cinema,91,48,Low,27.5,33.9,No,Window,Moderate
Friday,13,0,Normal,34.7,54.7,Sunny,0,0,0,Summer,0,22,Medium,4.4,Chinese,Medium,Available,190.2,Office,64,26,Low,28.6,38.2,No,Booth,Moderate
Monday,21,0,Cloudy,20.3,53.0,Overcast,0,0,0,Summer,0,36,Medium,4.7,Chinese,Medium,Limited,107.2,Office,164,41,Low,24.8,34.3,Yes,Window,Moderate
Friday,11,0,Hot,32.2,59.1,Overcast,0,0,0,Summer,1,24,Medium,4.3,Bakery,High,Available,83.4,Park,85,11,High,28.3,56.2,Yes,Outdoor,Noisy
Thursday,21,0,Normal,30.1,66.5,Sunny,0,0,0,Summer,1,41,High,4.5,Bakery,Low,Available,175.5,Mall,153,23,High,23.8,60.4,Yes,Booth,Noisy
Monday,22,0,Normal,32.1,32.2,Overcast,0,1,0,Monsoon,0,49,High,4.8,Chinese,High,Available,140.8,Office,155,17,High,28.6,31.6,No,Window,Overloaded
Monday,9,0,Hot,33.6,46.5,Overcast,0,0,0,Monsoon,0,23,Medium,3.7,Cafe,Medium,Available,142.1,Park,83,45,Medium,25.7,40.9,No,Booth,Moderate
Monday,12,0,Normal,21.6,38.6,Cloudy,0,0,0,Summer,0,21,Medium,4.4,Italian,Low,Available,185.5,Park,85,10,Low,24.8,51.4,Yes,Indoor,Moderate
Tuesday,22,0,Normal,21.4,66.5,Cloudy,0,0,0,Monsoon,0,39,Medium,4.3,Cafe,Medium,Available,125.0,Cinema,138,31,Medium,29.2,64.0,No,Outdoor,Moderate
Tuesday,15,0,Normal,22.2,71.6,Cloudy,0,1,0,Winter,1,36,Medium,4.6,Chinese,Medium,Limited,135.6,None,54,22,Low,22.8,58.2,No,Indoor,Moderate
